
Predictions were generated on 22-Dec-2025 at 21:56:19 using FAST.Farm, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	RtSkewT1            	RtSkewT2            	AziSkewT1           	AziSkewT2           	RtSkewFiltT1        	RtSkewFiltT2        	AziSkewFiltT1       	AziSkewFiltT2       	RtGamCurlT1         	RtGamCurlT2         	RtVAmbFiltT1        	RtVAmbFiltT2        	RtCtAvgT1           	RtCtAvgT2           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
   18.0000	7.27985525	8.29813004	8.29232788	-22.5661678	-4.88828182	22.5782681	4.90799570	1.97766781	-5.14959145	7.37162924	2.71644044	39.5739937	25.0961266	41.8763161	9.81572533	7.44761133	8.64105415	0.702078938	0.381242365	1.00000000	0.746514706E-5	0.00000000	57.9808655	34.4740753	88.6801453
   20.0000	7.27639771	8.17079544	7.96632338	-24.0030365	-2.64287496	24.1059151	2.75551534	-5.62339115	-16.4509335	10.5573645	3.18058205	31.1833267	18.3736134	60.5507050	11.6536045	7.41033077	8.56484509	0.720768511	0.390230685	0.999972701	0.739108026E-2	0.00000000	57.9479904	35.0362778	89.1217117
   22.0000	7.26048422	8.14409637	8.05522442	-26.7429981	-4.84974909	26.8383503	4.98805666	-5.20759821	-13.5569344	13.3947554	3.07169485	22.9734669	10.6346836	76.1577682	11.4455204	7.38056612	8.47727489	0.727487266	0.400892943	0.999680758	0.252672005E-1	0.00000000	57.8807907	35.0633926	89.3708267
   24.0000	7.12850237	8.17198086	8.04867935	-25.8180466	-3.46158051	25.8982868	3.49709058	-4.83734417	-8.18202305	16.2721672	3.48479366	16.6833992	5.25795937	92.1317444	13.1167946	7.35388041	8.40323162	0.740033269	0.408762038	0.998716772	0.506442413E-1	0.00000000	57.8299141	34.7806816	89.2215195
   26.0000	6.98901033	8.11338520	7.95680475	-25.5816059	-4.83339882	25.5946503	5.02119589	-1.95879531	-15.7579288	18.3523998	3.48475504	11.8843002	2.27115893	103.598633	13.2358618	7.30379391	8.35184002	0.754101634	0.415015191	0.996479928	0.838316530E-1	0.00000000	57.8315086	34.5010109	88.9617615
   28.0000	6.85121059	7.99118710	7.71303988	-24.4741688	-2.26013732	24.4952335	2.97855043	-2.52943921	-40.6666107	19.9377975	3.81972933	8.79891396	-1.73582387	110.614639	14.6538010	7.23383904	8.29884815	0.757887244	0.422067732	0.992298484	0.123869874	0.00000000	57.9298363	34.2709160	89.0556412
   30.0000	6.72606993	7.84500933	7.77859879	-24.2548409	-4.19823122	24.2676754	4.43897200	-1.98124576	-18.9915771	20.9359188	3.61012959	6.27665281	-10.3868780	114.439049	14.0914822	7.14880657	8.23047543	0.762102127	0.432866246	0.985253811	0.171099275	0.00000000	58.2077026	33.9734650	89.5205688
   32.0000	6.69235659	7.67541075	7.31581259	-24.5053234	-1.24372303	24.5424461	1.86478734	-3.35537314	-48.1778259	21.6687374	3.79332995	4.43887186	-12.2991867	116.465942	14.9032555	7.05486059	8.14481258	0.764367521	0.440396607	0.974673033	0.223634750	0.00000000	58.6338959	34.0100937	90.2481079
   34.0000	6.49466705	7.50224590	7.44679546	-25.7427845	-1.00622022	25.7666359	1.57016647	-2.64229131	-50.1528168	22.3006973	3.34562111	2.70460558	-20.2709236	118.154434	13.4288521	6.97430086	8.04049683	0.766670763	0.455471933	0.960809350	0.277209938	0.00000000	59.2082138	34.2430687	90.6391449
   36.0000	6.31537867	7.38964796	6.82131863	-25.7969189	-0.616195381	25.8015347	1.09913671	-1.16170764	-55.9047432	23.0676651	2.93712306	1.51454985	-26.9103680	119.508720	11.8806210	6.86771059	7.92087984	0.766950548	0.465692639	0.946595669	0.322423011	0.00000000	59.8968391	34.2740059	90.7381592
   38.0000	6.28432751	7.39295387	7.22946930	-26.4436989	-0.536268651	26.4440289	0.590200663	0.308220863	-24.6853046	23.6743927	2.51534081	0.919055462	-33.3525391	121.578758	10.4304504	6.74496460	7.80282307	0.778757572	0.484403610	0.934328020	0.356414229	0.00000000	60.4881325	34.3715172	90.6916809
   40.0000	6.25695658	7.43644047	7.28502893	-28.3601513	1.91931140	28.3810310	2.47643757	2.39179993	140.790207	24.2898464	2.08949637	0.783112645	-31.4261169	122.969543	8.73264313	6.64259624	7.71173668	0.784462035	0.493777990	0.922759414	0.385376513	0.00000000	60.9835205	34.6466980	90.6904907
   42.0000	6.29847050	7.46968699	7.52382755	-29.5226555	3.41453624	29.5288391	3.99150348	-1.28540468	148.768494	25.1987591	1.83443367	1.14119709	6.84506130	124.594131	7.67999125	6.55689478	7.65055704	0.783676684	0.498490840	0.912277222	0.409573317	0.00000000	61.5244255	34.6989517	90.8747406
   44.0000	6.28224611	7.47749805	7.82899284	-30.3338966	4.60102940	30.4161224	5.69784117	-4.64487648	143.762619	26.1602707	2.01815176	0.600778520	38.3819046	128.640701	8.38258743	6.49946451	7.61036158	0.794663727	0.497247845	0.903675854	0.428217113	0.00000000	62.2446060	34.1837921	91.1903534
   46.0000	6.20104265	7.51524115	7.43624020	-29.8019485	4.46011782	29.8248711	5.02038956	-2.46722388	152.613052	27.1025238	2.69268608	-0.567362905	61.7943268	131.343521	10.9738369	6.45119143	7.58083534	0.797605515	0.490106046	0.896642148	0.442755938	0.00000000	63.1054802	33.2689323	91.3680420
   48.0000	6.11828279	7.50779676	7.60690832	-28.5648174	3.88731503	28.5684376	4.07742357	-0.994004548	162.407166	27.7070732	3.12934637	-0.990138888	81.9742889	132.704376	12.7823601	6.39560032	7.56625795	0.800866723	0.492419183	0.890691280	0.454608649	0.00000000	64.0541153	32.1315651	91.1580276
   50.0000	5.98541403	7.51303530	7.43194723	-29.3358498	5.49738836	29.3381920	5.83479786	0.792594314	160.357010	27.8984966	3.27820635	-0.990995169	99.8482285	130.823166	13.2745743	6.33397150	7.55326605	0.793557346	0.489094108	0.885602593	0.464443833	0.00000000	64.9249115	31.1110573	90.6570816
   52.0000	5.91651535	7.42536592	7.43755293	-28.8150902	3.72423053	28.9558334	3.81785250	6.16905737	167.266998	28.2180271	3.86244297	-0.594308376	113.290802	129.283554	15.6162195	6.25651073	7.54432535	0.788002729	0.489333153	0.881536961	0.472115010	0.00000000	65.7157440	30.1617832	90.1410141
   54.0000	5.96072578	7.29229784	7.05109072	-30.9222507	4.07746220	30.9429398	4.25952721	2.31852365	163.158340	28.3761826	3.81774426	0.909335434	125.285614	127.848816	15.3830404	6.18095255	7.51788902	0.785916984	0.489350885	0.878241241	0.478217870	0.00000000	66.5012894	29.1587620	89.8424835
   56.0000	6.02989960	7.22314787	6.78355265	-29.7871437	4.05038548	29.8030605	4.15189123	2.05641365	167.283005	28.9463520	3.91121006	1.22290671	133.701904	130.098419	15.9803553	6.13201141	7.46775532	0.795902550	0.499608636	0.875664771	0.482919455	0.00000000	67.1382294	28.3580151	89.4424057
   58.0000	6.18546152	7.25971270	6.70113802	-29.0172882	1.56433821	29.0962944	1.73237062	4.61538124	154.549057	29.1366539	3.95973992	1.40822458	141.164505	130.552979	16.4744606	6.10931873	7.41339540	0.798340082	0.512514114	0.873808742	0.486269712	0.00000000	67.6250687	27.7444077	88.9059067
   60.0000	6.33841515	7.29452562	6.53849363	-28.3450890	1.95952594	28.5071373	2.57429504	6.65264130	139.550125	29.1263580	3.44273949	2.12094069	144.134445	129.983948	14.5506001	6.12624025	7.37924242	0.792841136	0.522643447	0.872364461	0.488856047	0.00000000	68.0811310	27.1372452	88.1941223
   62.0000	6.45418358	7.30943251	6.30802822	-28.9781132	4.07033968	29.0479870	4.09835386	4.34276009	-173.285629	28.9861069	3.25242949	3.12766027	143.115112	130.559509	14.0880814	6.17339230	7.36041546	0.792679965	0.536870718	0.871153891	0.491010070	0.00000000	68.4917908	26.5847340	87.5294724
   64.0000	6.49884748	7.31967020	6.13054705	-29.1157780	0.418501049	29.1520348	1.61419690	3.12497425	-105.022522	28.9996700	3.45527387	3.39770412	152.803177	132.616898	15.4628248	6.23579311	7.34908533	0.796878040	0.555675447	0.870096028	0.492882222	0.00000000	68.8562546	26.0975285	87.1884155
   66.0000	6.46782017	7.30903053	6.07554245	-30.7737465	4.34647131	30.8094368	5.25875759	3.04888177	-145.667969	29.0335197	2.86305261	3.33708906	175.503494	134.551895	13.1159077	6.29425240	7.34254837	0.800405622	0.568905413	0.869169712	0.494513929	0.00000000	69.0564194	25.8842583	87.2276993
   68.0000	6.48010492	7.26106834	5.68727016	-30.7798557	3.92193651	30.7954082	3.92611003	2.01304841	177.353790	29.4281673	3.49022913	3.27293134	-175.878159	135.777802	16.4748306	6.33282471	7.33509970	0.796019971	0.587260246	0.868367791	0.495920748	0.00000000	69.0246048	26.0604343	87.3637314
   70.0000	6.43721485	7.13152838	5.38756561	-33.2655563	5.58024216	33.2835426	5.62172794	2.11962295	-173.012817	29.7317753	3.58983374	2.99270034	-177.382004	137.828476	17.3909969	6.36555529	7.31864738	0.798816800	0.604158938	0.867755592	0.496991158	0.00000000	68.7464981	26.6372871	87.0688553
   72.0000	6.38546085	7.06197596	5.20931673	-32.0925827	6.72683764	32.0961800	6.74366379	0.957238734	175.932983	30.5209465	4.03308058	2.79813147	-176.406433	140.924255	20.2817860	6.38148022	7.27706337	0.801994205	0.631165624	0.867326498	0.497739643	0.00000000	68.5068970	27.1175480	86.7946548
   74.0000	6.46759462	7.00472641	5.10451841	-32.1049423	5.61667967	32.1052742	5.90342665	-0.290900201	-162.009262	30.8705063	4.65498590	2.38861632	-178.099884	141.224808	24.1207581	6.38236475	7.22926426	0.798262954	0.655369103	0.867021143	0.498271376	0.00000000	68.5966339	27.0053577	87.0406189
   76.0000	6.67154503	6.97193384	4.79827166	-31.8821983	7.02357149	31.8842869	7.03716183	0.730336249	176.420609	31.1438732	4.91346359	1.79268491	-174.522247	140.387817	26.2279243	6.40130568	7.17936468	0.787182271	0.680167973	0.866806746	0.498644263	0.00000000	68.9351959	26.4470844	87.3973618
   78.0000	6.84405565	6.96335697	4.94289255	-34.8756828	10.4767017	34.8778305	10.4803286	0.724660099	178.475708	31.3082542	5.40319157	1.55648589	-176.529556	140.909042	29.7040424	6.46136141	7.13326693	0.780421793	0.705747426	0.866649866	0.498916835	0.00000000	69.3391190	25.7686291	87.5108643
   80.0000	7.02314568	6.99503851	5.18422556	-33.5567207	7.63288593	33.6208763	7.76512432	3.99237514	-169.347153	32.1014061	6.55508566	1.37115705	-177.608917	143.989502	36.4740562	6.54640865	7.09550714	0.776288509	0.720133960	0.866531134	0.499123007	0.00000000	69.6810150	25.1929817	87.6945190
   82.0000	7.15029478	6.94442844	4.72836924	-34.0161667	9.03949165	34.1052017	9.42715645	4.68660831	-163.369949	32.4380989	6.81458712	1.95421159	-175.771210	145.994843	38.3787766	6.65235472	7.07317972	0.770242095	0.731703281	0.866430402	0.499297917	0.00000000	69.9687805	24.7090664	87.9075623
   84.0000	7.22137165	6.94516039	5.25937653	-32.0102196	7.36970615	32.0536652	8.05689716	3.32654452	-156.023926	32.8075180	7.36521626	2.56204796	-173.007919	149.335663	41.9663086	6.76301336	7.04456711	0.770381987	0.744475722	0.866346478	0.499443471	0.00000000	70.1535416	24.4016685	88.3953018
   86.0000	7.28817892	7.03642035	4.96953821	-30.4895420	5.07504702	30.5260334	5.52088594	3.09130549	-156.751633	32.6398964	7.50703335	2.73185301	-169.232742	150.422958	42.6051216	6.86487532	7.02247572	0.766522944	0.744182825	0.866276741	0.499564409	0.00000000	70.1035385	24.4993324	89.1276932
   88.0000	7.45319510	7.03655052	5.33780479	-28.8385849	4.32300472	28.8644123	4.73736143	2.64581680	-155.809143	32.1701012	7.08611917	2.81156945	-166.455536	151.519226	39.5558167	6.95894718	7.02557468	0.767569721	0.730722368	0.866211712	0.499677151	0.00000000	70.0150146	24.6631699	89.5292282
   90.0000	7.50771189	6.94534731	4.83109474	-28.1726894	5.70005417	28.1726952	7.18410110	0.383477062E-1	142.361359	31.4354725	6.58460283	2.77468395	-164.084671	149.883270	36.1526909	7.06878471	7.02801371	0.757058442	0.717470050	0.866170347	0.499748915	0.00000000	69.8438263	24.9662647	89.2318420
   92.0000	7.46689892	6.90826082	4.71029091	-25.2606583	6.55467844	25.2676430	8.40892410	1.43996453	141.012207	30.7095051	6.74080038	2.16776085	-175.981247	147.024399	37.5704117	7.16632891	7.00964260	0.742386580	0.730547011	0.866154969	0.499775499	0.00000000	69.2812805	25.9435120	88.6916428
   94.0000	7.42085409	6.91661739	4.43360233	-26.2143536	0.717315316	26.2789211	4.09144497	-4.31696177	100.080513	29.5001202	7.19054937	2.00633168	174.470917	141.446625	40.9799156	7.23312521	6.98711252	0.724939823	0.750370324	0.866138816	0.499803543	0.00000000	68.3518295	27.5565414	88.2360458
   96.0000	7.31494331	7.00509262	4.12343025	-27.0761795	-7.78210735	27.1437473	9.03153229	-4.36682987	30.7053032	28.7795486	6.65349102	0.603807747	157.939224	136.992554	39.7812271	7.27484465	6.97144604	0.709024131	0.787792444	0.866117597	0.499840349	0.00000000	67.3438721	29.3061638	87.8805237
   98.0000	7.29386950	7.15956831	4.50430012	-26.3330612	-11.3994722	26.3348312	12.1296682	-0.714583397	20.2601738	28.4129982	6.69180059	-0.499770939	129.652847	134.342026	40.9282341	7.28375578	6.97892332	0.700207174	0.805087149	0.866097212	0.499875575	0.00000000	66.5552139	30.6754055	87.9092865
  100.0000	7.43386126	7.33456850	4.14249182	-26.2934265	-13.3011503	26.2996922	13.7728119	-1.34450459	15.3190994	27.9511566	7.22893047	-0.547441840	105.319778	131.414856	45.6850395	7.28600359	7.01906872	0.692123055	0.828388155	0.866082489	0.499901086	0.00000000	66.0552826	31.5434742	88.2514038
  102.0000	7.55304480	7.38247156	4.22731256	-25.6834126	-17.5420055	25.6986599	18.7620010	-2.11453700	21.4753914	27.5840683	8.11436844	-0.724401236	85.2938004	128.483994	53.0816002	7.31886196	7.08918285	0.679600000	0.851354599	0.866075754	0.499912769	0.00000000	65.7916641	32.0010719	89.2762985
  104.0000	7.62072420	7.39773941	4.50642776	-26.2143822	-16.5085297	26.2280235	17.4075451	-1.98568916	19.0386238	27.1648350	10.0149736	-1.03299296	71.0668640	125.854225	67.8792801	7.37090492	7.15436125	0.667862117	0.880224824	0.866072655	0.499918103	0.00000000	65.6903992	32.1768723	90.3574677
  106.0000	7.57417488	7.41295195	4.21227503	-26.4245033	-21.0854759	26.4277020	22.2885036	-0.958850086	19.8355160	26.9565334	11.3879175	-1.24460018	59.4789314	123.523781	77.6027145	7.42642307	7.20844746	0.654025674	0.883657634	0.866068840	0.499924719	0.00000000	65.7546387	32.0660439	90.8427124
  108.0000	7.56364393	7.40442991	4.67742157	-26.3288746	-17.8113079	26.3494930	18.2352142	-2.43732476	12.7956514	26.8390007	13.5864134	-1.18111384	50.6291924	121.680397	93.1778793	7.45925808	7.25389528	0.643358648	0.893789709	0.866059840	0.499940366	0.00000000	65.9732590	31.6883984	90.9639893
  110.0000	7.52462053	7.44533300	4.47267818	-27.2952976	-22.7153339	27.2960186	23.0860577	0.450369477	10.8536568	26.7300282	14.4840689	-1.46020985	42.2083778	120.525894	98.1837311	7.48245621	7.28734875	0.637064934	0.883968532	0.866053104	0.499951988	0.00000000	66.1147461	31.4441910	90.8812637
  112.0000	7.41865778	7.52499723	5.29380894	-28.2755432	-20.7466373	28.2755890	20.8703423	0.110612087	6.52650833	26.8553658	16.2656689	-1.03548956	35.2156830	121.788460	107.515968	7.49182653	7.32245827	0.640861750	0.867618799	0.866056859	0.499945521	0.00000000	66.1236420	31.4283237	90.6043015
  114.0000	7.28473902	7.59820795	5.11950874	-29.8359718	-21.8052940	29.8421974	21.8431053	-1.28555906	3.54215264	27.1708183	17.2021084	-0.780592740	28.8289700	122.905182	109.875435	7.47556591	7.36746883	0.642985046	0.838715315	0.866052330	0.499953330	0.00000000	66.3532791	31.0310764	90.7146301
  116.0000	7.13663530	7.75529480	5.66062164	-31.1518650	-20.8372688	31.1556492	20.8591290	0.989545941	-2.74386382	27.7644577	18.1638985	-0.892941356	23.1992970	125.422287	112.691772	7.43315792	7.41874647	0.650367975	0.814789951	0.866048157	0.499960631	0.00000000	66.6986160	30.4334145	90.9709778
  118.0000	7.06492138	7.89266968	5.46072578	-31.8918247	-19.2882042	31.8923759	19.3532619	0.375204057	4.88349628	28.5175991	18.6980476	-0.473818272	17.4281502	128.726685	113.046082	7.36726141	7.49353838	0.661759257	0.789317727	0.866043448	0.499968708	0.00000000	66.9169006	30.0559120	90.6668701
  120.0000	7.08883905	8.02785587	5.85070515	-31.6872101	-19.4797554	31.6902332	19.4797688	0.880332530	0.717773438E-1	29.2674809	18.8298988	-0.284777731	14.6396284	133.403336	112.004890	7.30007172	7.58223820	0.680790603	0.768281698	0.866041243	0.499972552	0.00000000	67.2123566	29.5444241	89.9762268
