
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:18.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
    1.8000  -0.4528373E-01   0.6232778E-01  -0.3927650E+00  -0.1263154E+00  -0.4956488E+00   0.1028651E+01   0.1166803E+01   0.6479120E+00   0.8045230E+00   0.1837503E+00   0.4560337E+00   0.2837549E+00   0.7896428E-01  -0.3206278E+00   0.5529786E+00  -0.5455894E+03   0.5215903E+03  -0.3841960E+04  -0.1181138E+04  -0.4609199E+04
    2.0000   0.2883317E-01   0.9393156E-01  -0.3503363E+00  -0.2408756E+00  -0.3985265E+00   0.1057241E+01   0.1198649E+01   0.6798102E+00   0.7192463E+00   0.3698608E+00  -0.1439096E+00  -0.4997299E-01   0.2128437E+00  -0.3823926E+00   0.8322931E+00   0.2376077E+03   0.8346092E+03  -0.3405934E+04  -0.2336445E+04  -0.3751605E+04
    2.2000   0.7090027E-01   0.8725056E-01  -0.2832215E+00  -0.3420450E+00  -0.2671431E+00   0.9630489E+00   0.1126567E+01   0.7419142E+00   0.6539037E+00   0.5538828E+00  -0.2452823E-01  -0.3305395E+00   0.4826370E+00  -0.3710494E+00   0.7875009E+00   0.7958434E+03   0.8447443E+03  -0.2740919E+04  -0.3351475E+04  -0.2499670E+04
    2.4000   0.1650145E+00   0.7828178E-01  -0.1786095E+00  -0.4386794E+00  -0.1092052E+00   0.1059193E+01   0.1062767E+01   0.9087459E+00   0.5491496E+00   0.7400070E+00   0.7538775E+00   0.2334585E-02   0.7886330E+00  -0.4323979E+00   0.1068368E+01   0.1717600E+04   0.8190745E+03  -0.1780604E+04  -0.4279049E+04  -0.9517363E+03
    2.6000   0.2905008E+00   0.1019045E+00  -0.6961255E-01  -0.5116937E+00   0.9685372E-01   0.1250174E+01   0.1123073E+01   0.1083031E+01   0.4736677E+00   0.1049551E+01   0.7037303E+00   0.3733155E+00   0.5792527E+00  -0.2385374E+00   0.1565103E+01   0.2868675E+04   0.1006911E+04  -0.7851522E+03  -0.4976853E+04   0.9830200E+03
    2.8000   0.4027761E+00   0.1346423E+00   0.9449605E-02  -0.5524587E+00   0.3209335E+00   0.1410550E+01   0.1232702E+01   0.1179873E+01   0.4350349E+00   0.1437351E+01   0.6607034E+00   0.2897678E+00   0.2472244E+00  -0.4753942E-01   0.1406134E+01   0.3910720E+04   0.1235528E+04  -0.2776208E+02  -0.5367117E+04   0.3027866E+04
    3.0000   0.4855962E+00   0.1303166E+00   0.5063078E-01  -0.5559350E+00   0.4838436E+00   0.1533568E+01   0.1251071E+01   0.1183711E+01   0.4507161E+00   0.1668752E+01   0.2787561E+00  -0.2150413E+00  -0.2705738E-01   0.1316614E+00   0.6803732E+00   0.4682879E+04   0.1162527E+04   0.4169613E+03  -0.5404221E+04   0.4571081E+04
    3.2000   0.5169452E+00   0.7930998E-01   0.7887964E-01  -0.5245506E+00   0.5793823E+00   0.1545145E+01   0.1153603E+01   0.1185867E+01   0.4985335E+00   0.1784327E+01  -0.4149307E-02  -0.4708437E+00   0.1380043E+00   0.4400327E+00   0.4581304E+00   0.5010688E+04   0.7078449E+03   0.7146110E+03  -0.5103738E+04   0.5503586E+04
    3.4000   0.5162916E+00   0.1057829E-01   0.1042844E+00  -0.4438948E+00   0.6177695E+00   0.1535709E+01   0.1036282E+01   0.1226179E+01   0.6684979E+00   0.1850068E+01  -0.1119130E+00  -0.5046519E+00   0.2451941E-01   0.7624100E+00  -0.1578390E-01   0.5015298E+04   0.7986115E+02   0.9338179E+03  -0.4395447E+04   0.5862128E+04
    3.6000   0.4805128E+00  -0.5939467E-01   0.9805398E-01  -0.3571075E+00   0.5753725E+00   0.1476536E+01   0.9249775E+00   0.1192965E+01   0.8185852E+00   0.1767856E+01  -0.3770950E+00  -0.4253387E+00  -0.2982454E+00   0.4735755E+00  -0.5781242E+00   0.4688816E+04  -0.5794451E+03   0.8834176E+03  -0.3605758E+04   0.5493511E+04
    3.8000   0.4145046E+00  -0.1212997E+00   0.6004551E-01  -0.2858879E+00   0.4703508E+00   0.1369793E+01   0.8425088E+00   0.1085071E+01   0.9108232E+00   0.1587816E+01  -0.4363111E+00  -0.4311792E+00  -0.5211379E+00   0.3668212E+00  -0.7776702E+00   0.4086935E+04  -0.1181820E+04   0.5730056E+03  -0.2923289E+04   0.4549415E+04
    4.0000   0.3412636E+00  -0.1889895E+00   0.1495605E-01  -0.2276354E+00   0.3418599E+00   0.1280714E+01   0.7092682E+00   0.9617692E+00   0.9755049E+00   0.1415322E+01  -0.3139643E+00  -0.6266595E+00  -0.3540608E+00   0.2268211E+00  -0.6777849E+00   0.3389042E+04  -0.1789874E+04   0.1988642E+03  -0.2360751E+04   0.3341210E+04
    4.2000   0.2734810E+00  -0.2413929E+00  -0.8316650E-02  -0.1856299E+00   0.2108330E+00   0.1236891E+01   0.5751283E+00   0.9126315E+00   0.1016776E+01   0.1283216E+01  -0.1357822E+00  -0.3104615E+00  -0.1945769E+00   0.3531143E-01  -0.4856683E+00   0.2694961E+04  -0.2226699E+04  -0.1081218E+02  -0.1954179E+04   0.2052068E+04
    4.4000   0.2085223E+00  -0.2412354E+00  -0.2266902E-01  -0.1772658E+00   0.8519058E-01   0.1240168E+01   0.5554708E+00   0.8511748E+00   0.9594457E+00   0.1221030E+01  -0.1368606E+00   0.8956967E-01  -0.1729330E+00  -0.3535160E+00  -0.4183184E+00   0.1976596E+04  -0.2209362E+04  -0.1084494E+03  -0.1812866E+04   0.7467419E+03
    4.6000   0.1074237E+00  -0.1927817E+00  -0.5531596E-02  -0.1786431E+00  -0.7358151E-01   0.1160907E+01   0.6100626E+00   0.8584442E+00   0.8785549E+00   0.1076405E+01  -0.7673931E+00   0.4166517E+00   0.2967076E+00  -0.1499199E+00  -0.9589996E+00   0.9585342E+03  -0.1749582E+04   0.7222005E+02  -0.1753840E+04  -0.8311006E+03
    4.8000  -0.4859281E-01  -0.1001617E+00   0.5390509E-01  -0.1621719E+00  -0.2668312E+00   0.9074727E+00   0.7504542E+00   0.9724067E+00   0.8555930E+00   0.8357602E+00  -0.1097232E+01   0.6388608E+00   0.5891145E+00  -0.8258708E-01  -0.1036908E+01  -0.4698740E+03  -0.8908407E+03   0.5977680E+03  -0.1560430E+04  -0.2679092E+04
    5.0000  -0.1986141E+00   0.6406779E-02   0.1362459E+00  -0.1325455E+00  -0.4624960E+00   0.6790866E+00   0.8769802E+00   0.1151667E+01   0.8398790E+00   0.5892811E+00  -0.8160394E+00   0.5470005E+00   0.7367122E+00   0.1172948E+00  -0.1152540E+01  -0.1852796E+04   0.1381980E+03   0.1299257E+04  -0.1235881E+04  -0.4543939E+04
    5.2000  -0.3162901E+00   0.1290519E+00   0.1999145E+00  -0.6873673E-01  -0.6445019E+00   0.5022110E+00   0.1030347E+01   0.1294178E+01   0.9178982E+00   0.3308051E+00  -0.6368429E+00   0.8426166E+00   0.2695100E+00   0.4951354E+00  -0.9213750E+00  -0.2941130E+04   0.1316727E+04   0.1839036E+04  -0.6393812E+03  -0.6256435E+04
    5.4000  -0.3803362E+00   0.2627897E+00   0.2076951E+00   0.1552720E-01  -0.7748491E+00   0.4114316E+00   0.1226070E+01   0.1293046E+01   0.1055491E+01   0.1709833E+00  -0.2973647E-01   0.7019402E+00  -0.1897676E+00   0.4683837E+00  -0.5774415E+00  -0.3537642E+04   0.2574826E+04   0.1924971E+04   0.1141849E+03  -0.7508292E+04
    5.6000  -0.3688996E+00   0.3745659E+00   0.1700241E+00   0.7962117E-01  -0.8553418E+00   0.4827425E+00   0.1359099E+01   0.1195887E+01   0.1127748E+01   0.5567089E-01   0.4613113E+00   0.5907745E+00  -0.5215304E+00   0.1397215E+00  -0.3777509E+00  -0.3480515E+04   0.3658841E+04   0.1622288E+04   0.7197513E+03  -0.8263809E+04
    5.8000  -0.3091447E+00   0.4667585E+00   0.1134713E+00   0.1117450E+00  -0.8724585E+00   0.6252059E+00   0.1480246E+01   0.1065138E+01   0.1115742E+01   0.1302601E-01   0.6372522E+00   0.4213700E+00  -0.4081043E+00  -0.1712621E+00   0.1479367E+00  -0.2970530E+04   0.4554667E+04   0.1142805E+04   0.1081259E+04  -0.8403900E+04
    6.0000  -0.2286268E+00   0.5310601E+00   0.6756421E-01   0.1220581E+00  -0.8044525E+00   0.7750590E+00   0.1551080E+01   0.9857677E+00   0.1029142E+01   0.1260315E+00   0.6326910E+00   0.4340926E+00  -0.3442980E+00  -0.2003607E+00   0.6978250E+00  -0.2236993E+04   0.5190890E+04   0.7272930E+03   0.1288305E+04  -0.7780292E+04
    6.2000  -0.1366118E+00   0.5932308E+00   0.3344922E-01   0.1652038E+00  -0.6745456E+00   0.9380209E+00   0.1706556E+01   0.9154587E+00   0.1049190E+01   0.3183851E+00   0.7456889E+00   0.6671969E+00  -0.5814328E-01   0.4931096E+00   0.9256240E+00  -0.1394078E+04   0.5704800E+04   0.4185695E+03   0.1734295E+04  -0.6573223E+04
    6.4000  -0.5156362E-01   0.6142527E+00   0.3816980E-01   0.2541650E+00  -0.5045767E+00   0.1090844E+01   0.1839203E+01   0.9783673E+00   0.1229422E+01   0.5653775E+00   0.3873279E+00   0.5567487E-01   0.2511713E+00   0.7088045E+00   0.1057308E+01  -0.6104912E+03   0.5785370E+04   0.3977792E+03   0.2504013E+04  -0.4983855E+04
    6.6000  -0.6473897E-02   0.5252037E+00   0.3325590E-01   0.3279749E+00  -0.3336572E+00   0.1114416E+01   0.1725986E+01   0.9863620E+00   0.1367836E+01   0.7618318E+00   0.1243705E+00  -0.1041018E+01  -0.2346817E+00   0.3706011E+00   0.7070121E+00  -0.1281676E+03   0.4937937E+04   0.3353713E+03   0.3153107E+04  -0.3327354E+04
    6.8000   0.3294554E-01   0.3363073E+00   0.1083842E-01   0.3623041E+00  -0.1689296E+00   0.1159227E+01   0.1379352E+01   0.9113563E+00   0.1420689E+01   0.9126468E+00   0.2998865E+00  -0.1466630E+01  -0.8505772E-01   0.1322328E+00   0.8378571E+00   0.2731314E+03   0.3257633E+04   0.1754585E+03   0.3468502E+04  -0.1690822E+04
    7.0000   0.7318740E-01   0.1374184E+00   0.2297127E-01   0.3612422E+00   0.5408325E-02   0.1237130E+01   0.1069958E+01   0.9551702E+00   0.1429930E+01   0.1107199E+01   0.3594320E+00  -0.1067977E+01   0.3280343E+00  -0.1512589E+00   0.8170487E+00   0.6350445E+03   0.1426782E+04   0.2632485E+03   0.3447454E+04   0.3416445E+01
    7.2000   0.1025763E+00  -0.2783508E-01   0.5044920E-01   0.3146639E+00   0.1710431E+00   0.1331598E+01   0.8766357E+00   0.1044552E+01   0.1344825E+01   0.1286457E+01   0.2439208E+00  -0.7048568E+00   0.1978447E+00  -0.4703372E+00   0.8436389E+00   0.8588402E+03  -0.1735827E+03   0.4613394E+03   0.3022665E+04   0.1608138E+04
    7.4000   0.9197636E-01  -0.1612446E+00   0.5256270E-01   0.2401430E+00   0.3225624E+00   0.1346995E+01   0.7564397E+00   0.1047755E+01   0.1229688E+01   0.1476001E+01  -0.9290750E-01  -0.5039426E+00  -0.1478535E+00  -0.5817699E+00   0.6893628E+00   0.7204091E+03  -0.1505576E+04   0.4775104E+03   0.2329601E+04   0.3047851E+04
    7.6000   0.4256498E-01  -0.2719788E+00   0.3099409E-01   0.1388342E+00   0.4334563E+00   0.1323656E+01   0.6642640E+00   0.9814543E+00   0.1043663E+01   0.1600586E+01  -0.3306279E+00  -0.3802879E+00  -0.2970698E+00  -0.8447488E+00   0.4049347E+00   0.1988104E+03  -0.2616626E+04   0.3174714E+03   0.1419759E+04   0.4106506E+04
    7.8000  -0.6944657E-01  -0.3646342E+00   0.8775065E-02   0.4822192E-01   0.4922443E+00   0.1162344E+01   0.5875873E+00   0.9073260E+00   0.8873887E+00   0.1652095E+01  -0.1069607E+01  -0.4341829E+00  -0.1761272E+00  -0.3354293E+00  -0.1050075E-01  -0.8633737E+03  -0.3533954E+04   0.1566391E+03   0.5919647E+03   0.4674759E+04
    8.0000  -0.2318449E+00  -0.4462336E+00   0.1159943E-01  -0.7080078E-04   0.4895060E+00   0.8757994E+00   0.4716558E+00   0.9019905E+00   0.8601424E+00   0.1597459E+01  -0.1158926E+01  -0.3356999E+00   0.1179722E+00  -0.1698905E+00  -0.3901069E+00  -0.2348588E+04  -0.4289083E+04   0.1912524E+03   0.9165459E+02   0.4680828E+04
    8.2000  -0.3915451E+00  -0.4790673E+00   0.3666109E-01  -0.3666117E-01   0.4328383E+00   0.6187605E+00   0.4594734E+00   0.9489625E+00   0.8179560E+00   0.1456677E+01  -0.1119175E+01   0.1273166E+00   0.1917412E+00  -0.1171888E+00  -0.7860953E+00  -0.3840421E+04  -0.4616987E+04   0.4120356E+03  -0.2674395E+03   0.4195515E+04
    8.4000  -0.5376666E+00  -0.4692684E+00   0.6380176E-01  -0.5145388E-01   0.3374356E+00   0.3590018E+00   0.5054678E+00   0.9802099E+00   0.8174011E+00   0.1236100E+01  -0.1065315E+01   0.2790509E+00   0.8637790E-01   0.5056469E-01  -0.8568468E+00  -0.5187854E+04  -0.4552212E+04   0.6821216E+03  -0.4212018E+03   0.3373005E+04
    8.6000  -0.6484849E+00  -0.4201580E+00   0.9251129E-01  -0.4715129E-01   0.2483029E+00   0.1223644E+00   0.6263372E+00   0.9895722E+00   0.8393435E+00   0.1059480E+01  -0.8199180E+00   0.5982761E+00   0.2289386E+00   0.1626987E+00  -0.5989257E+00  -0.6170658E+04  -0.4140601E+04   0.9971982E+03  -0.3909294E+03   0.2578561E+04
    8.8000  -0.6868607E+00  -0.3599946E+00   0.1525528E+00  -0.2235681E-01   0.1888851E+00  -0.8116443E-02   0.7450316E+00   0.1101395E+01   0.9014966E+00   0.9584223E+00  -0.1689616E+00   0.2965398E+00   0.6472425E+00   0.3237000E+00  -0.2118636E+00  -0.6474296E+04  -0.3608621E+04   0.1547910E+04  -0.1798652E+03   0.2025938E+04
    9.0000  -0.6294367E+00  -0.3138509E+00   0.2248885E+00   0.1400106E-01   0.1718840E+00   0.2347009E-01   0.7936033E+00   0.1256324E+01   0.9881247E+00   0.9696397E+00   0.4075818E+00   0.2075491E+00   0.5461457E+00   0.3143136E+00   0.1452740E+00  -0.5900369E+04  -0.3156701E+04   0.2184538E+04   0.1307580E+03   0.1822644E+04
    9.2000  -0.4856877E+00  -0.2771493E+00   0.2825435E+00   0.4041900E-01   0.1777271E+00   0.1709744E+00   0.8082620E+00   0.1385676E+01   0.1036843E+01   0.1021574E+01   0.9369158E+00  -0.5587423E-01   0.5797160E+00   0.9983717E-01   0.2026201E+00  -0.4504038E+04  -0.2766812E+04   0.2680988E+04   0.3755647E+03   0.1830290E+04
    9.4000  -0.2612399E+00  -0.2475402E+00   0.3171361E+00   0.5431061E-01   0.1917307E+00   0.4443015E+00   0.7741597E+00   0.1521940E+01   0.1047549E+01   0.1082388E+01   0.1435784E+01   0.3371606E-01   0.2278472E+00   0.1020838E+00   0.2758924E+00  -0.2354174E+04  -0.2407130E+04   0.2922759E+04   0.5236982E+03   0.1922407E+04
    9.6000   0.2208150E-01  -0.1917022E+00   0.2736470E+00   0.6735528E-01   0.2071283E+00   0.8145711E+00   0.8082672E+00   0.1470497E+01   0.1073429E+01   0.1155392E+01   0.1683120E+01   0.3247536E+00  -0.5943959E+00   0.5840746E-01   0.2124623E+00   0.3437399E+03  -0.1836739E+04   0.2512502E+04   0.6491609E+03   0.2019310E+04
    9.8000   0.3219171E+00  -0.1035994E+00   0.1655481E+00   0.7185264E-01   0.2029722E+00   0.1181828E+01   0.9265788E+00   0.1281135E+01   0.1071201E+01   0.1179321E+01   0.1601505E+01   0.6240172E+00  -0.7665148E+00   0.4891566E-01  -0.4613318E-01   0.3234174E+04  -0.1012416E+04   0.1548587E+04   0.7038461E+03   0.1954419E+04
   10.0000   0.6235849E+00  -0.8064575E-02   0.4358866E-01   0.8330222E-01   0.1723402E+00   0.1557651E+01   0.1063980E+01   0.1107342E+01   0.1113867E+01   0.1141845E+01   0.1795918E+01   0.4062388E+00  -0.7236446E+00   0.2148449E+00  -0.2625497E+00   0.6139850E+04  -0.1210072E+03   0.4169509E+03   0.7833680E+03   0.1670394E+04
   10.2000   0.9158793E+00   0.6516895E-01  -0.7507186E-01   0.8531422E-01   0.1204420E+00   0.1973872E+01   0.1121192E+01   0.9510164E+00   0.1150012E+01   0.1048156E+01   0.1684418E+01   0.3058206E+00  -0.5140352E+00  -0.7716717E-01  -0.4030114E+00   0.8899889E+04   0.6149434E+03  -0.7106362E+03   0.7666004E+03   0.1216639E+04
   10.4000   0.1154559E+01   0.1390882E+00  -0.1641279E+00   0.5105983E-01   0.7304230E-01   0.2334311E+01   0.1210004E+01   0.9012346E+00   0.1078421E+01   0.9700475E+00   0.1368053E+01   0.4712838E+00  -0.1576886E+00  -0.3874413E+00  -0.1541842E+00   0.1112384E+05   0.1325169E+04  -0.1634114E+04   0.4722579E+03   0.7944197E+03
   10.6000   0.1300008E+01   0.2121340E+00  -0.2481761E+00   0.6961385E-02   0.5201284E-01   0.2586184E+01   0.1338049E+01   0.8628843E+00   0.9891371E+00   0.9705883E+00   0.5415496E+00   0.4598466E+00  -0.4389000E+00  -0.2283758E+00   0.1048098E+00   0.1245003E+05   0.1973354E+04  -0.2518891E+04   0.8930475E+02   0.5715280E+03
   10.8000   0.1301548E+01   0.2496425E+00  -0.3555857E+00  -0.1912044E-01   0.5026367E-01   0.2575322E+01   0.1405550E+01   0.7331976E+00   0.9696192E+00   0.1027542E+01  -0.4851368E+00  -0.2055550E-01  -0.6531607E+00  -0.5597413E-01   0.2040219E+00   0.1248337E+05   0.2293838E+04  -0.3561173E+04  -0.1772737E+03   0.4992063E+03
   11.0000   0.1176142E+01   0.2285892E+00  -0.4738988E+00  -0.4172900E-01   0.4110716E-01   0.2378913E+01   0.1347632E+01   0.5570649E+00   0.9538445E+00   0.1050988E+01  -0.1109675E+01  -0.4440785E+00  -0.8977717E+00  -0.1622052E+00   0.3773075E-02   0.1133569E+05   0.2111031E+04  -0.4662521E+04  -0.4131562E+03   0.3809781E+03
   11.2000   0.9519661E+00   0.1529043E+00  -0.5894668E+00  -0.7359996E-01   0.2946244E-01   0.2046361E+01   0.1168951E+01   0.3223447E+00   0.8961016E+00   0.1081661E+01  -0.1626728E+01  -0.9671243E+00  -0.7742782E+00  -0.2968646E+00   0.2113465E+00   0.9258086E+04   0.1470608E+04  -0.5677489E+04  -0.6956240E+03   0.2206095E+03
   11.4000   0.6710386E+00   0.5764490E-01  -0.6420733E+00  -0.1071567E+00   0.5227722E-02   0.1648479E+01   0.9335833E+00   0.2202370E+00   0.8058278E+00   0.1113681E+01  -0.1562638E+01  -0.6204530E+00  -0.1119446E+00  -0.2826357E+00  -0.3051146E+00   0.6629327E+04   0.6664930E+03  -0.6146755E+04  -0.9500558E+03  -0.7526591E+02
   11.6000   0.3980260E+00   0.1076219E-01  -0.6258063E+00  -0.1067052E+00  -0.7871458E-01   0.1358405E+01   0.8719221E+00   0.2323296E+00   0.7811146E+00   0.9496695E+00  -0.1086404E+01  -0.1990427E+00   0.1470471E+00   0.3217238E+00  -0.7996266E+00   0.3969686E+04   0.2073064E+03  -0.5987743E+04  -0.9085170E+03  -0.8157720E+03
   11.8000   0.1413199E+00  -0.1660610E-01  -0.5533951E+00  -0.3643510E-01  -0.1760540E+00   0.1157312E+01   0.8217354E+00   0.3004855E+00   0.9690717E+00   0.7525060E+00  -0.9998583E+00  -0.1889150E+00   0.5942907E+00   0.9371799E+00  -0.7190168E+00   0.1389355E+04  -0.6146241E+02  -0.5274675E+04  -0.3388226E+03  -0.1654177E+04
   12.0000  -0.1228000E+00  -0.2298646E-01  -0.4106915E+00   0.4298828E-01  -0.2426755E+00   0.9410433E+00   0.8065611E+00   0.5067300E+00   0.1177835E+01   0.6122503E+00  -0.1118220E+01  -0.1599885E-01   0.1087574E+01   0.5142623E+00  -0.2478482E+00  -0.1252100E+04  -0.1262939E+03  -0.3938756E+04   0.3056235E+03  -0.2228812E+04
   12.2000  -0.4037073E+00  -0.1029837E-01  -0.2249170E+00   0.7189331E-01  -0.2421208E+00   0.6655336E+00   0.8068361E+00   0.7857151E+00   0.1237267E+01   0.6432621E+00  -0.1404900E+01   0.8558188E-01   0.1168392E+01   0.9073798E-01   0.3340712E+00  -0.4004008E+04  -0.1470871E+01  -0.2213085E+04   0.5631199E+03  -0.2255428E+04
   12.4000  -0.6890684E+00   0.2433130E-01  -0.3872591E-01   0.5765409E-01  -0.1983800E+00   0.3366653E+00   0.8502812E+00   0.1036394E+01   0.1215436E+01   0.7502497E+00  -0.1378636E+01   0.1464740E+00   0.9715009E+00  -0.2883526E+00   0.4577234E+00  -0.6745607E+04   0.3271564E+03  -0.4512996E+03   0.4485061E+03  -0.1895127E+04
   12.6000  -0.9430551E+00   0.5996056E-01   0.1249878E+00   0.6369873E-02  -0.1397056E+00   0.4055272E-01   0.8425540E+00   0.1227719E+01   0.1101727E+01   0.8654157E+00  -0.1212209E+01   0.9772383E-02   0.7346814E+00  -0.4093773E+00   0.4443620E+00  -0.9176363E+04   0.7269780E+03   0.1130897E+04   0.1770324E+02  -0.1371314E+04
   12.8000  -0.1138909E+01   0.1195260E+00   0.2565653E+00  -0.3791540E-01  -0.8267554E-01  -0.1936848E+00   0.8699853E+00   0.1356046E+01   0.1049711E+01   0.9517294E+00  -0.6756539E+00   0.4057228E+00   0.4602875E+00  -0.9166875E-01   0.3644099E+00  -0.1105074E+05   0.1364872E+04   0.2430624E+04  -0.4117916E+03  -0.8320833E+03
   13.0000  -0.1239420E+01   0.2255700E+00   0.3554608E+00  -0.7686141E-01  -0.2447251E-01  -0.2468681E+00   0.9990726E+00   0.1428763E+01   0.1040209E+01   0.1045803E+01  -0.3480164E-01   0.8459771E+00   0.3337827E+00  -0.2361326E+00   0.4214430E+00  -0.1208542E+05   0.2402477E+04   0.3429526E+04  -0.8366680E+03  -0.2895427E+03
   13.2000  -0.1267155E+01   0.3841241E+00   0.4347077E+00  -0.1456784E+00   0.2514669E-01  -0.2113644E+00   0.1277076E+01   0.1502852E+01   0.9369847E+00   0.1130155E+01   0.1147745E+00   0.1406210E+01   0.3366511E+00  -0.6367546E+00   0.2223721E+00  -0.1243077E+05   0.3853789E+04   0.4207776E+04  -0.1482327E+04   0.1678713E+03
   13.4000  -0.1255374E+01   0.5567877E+00   0.4920463E+00  -0.2328649E+00   0.4732760E-01  -0.1889464E+00   0.1620361E+01   0.1576474E+01   0.7614863E+00   0.1143142E+01   0.4831753E-01   0.1283444E+01   0.2386375E+00  -0.5938681E+00  -0.1469447E-01  -0.1233023E+05   0.5388496E+04   0.4738724E+04  -0.2247478E+04   0.4017671E+03
   13.6000  -0.1206101E+01   0.6840903E+00   0.5111889E+00  -0.2885158E+00   0.5346354E-01  -0.1794928E+00   0.1891022E+01   0.1611320E+01   0.6752231E+00   0.1130693E+01   0.2119889E+00   0.8673911E+00  -0.9709461E-01  -0.1954313E+00   0.1077671E-01  -0.1181093E+05   0.6509213E+04   0.4894580E+04  -0.2760977E+04   0.4864911E+03
