
Predictions were generated on 22-Dec-2025 at 21:55:38 using FAST.Farm, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
   27.0000	7.23289394	8.03264141	7.73046780	3.64404655	-5.46030426	0.452783018	0.777464509	0.885503769	-0.260153785E-3	-0.108559937E-5	0.995871961	0.147149607E-3	-0.907687023E-1	436.794678	-7.55573082	93.6498260	-1.58505368	-2.38511372	-3.51690292	-3.84484887	-0.321075797	-0.767640769E-3	-0.756901627E-16	0.00000000	0.566303954E-1	0.283194818E-1	-0.968606025E-1	-0.278645068	-0.209716603	-0.112862624	-1.64191341	-2.56173229	-3.79054189	-4.35080194	-0.351887941	-0.782827090E-3	-0.108757058E-15	0.00000000	0.583797917E-1	0.264768917E-1	-0.894218981E-1	-0.312675476	-0.237142637	-0.127635673
   30.0000	7.08990574	7.82021427	7.66680956	6.02522182	-3.26376295	0.482129216	0.790847123	0.898133576	-0.253050675E-3	-0.105595882E-5	0.995857537	0.160163181E-3	-0.909272656E-1	436.789307	-8.98081970	93.4673767	-1.52553010	-2.31026435	-3.46072078	-4.04693842	-0.479723066	-0.126611500E-2	-0.980703084E-16	0.00000000	0.561328158E-1	0.337626897E-1	-0.980159342E-1	-0.364616245	-0.286219537	-0.154024601	-1.49506998	-2.40915656	-3.61853218	-4.52538300	-0.413757831	-0.649348367E-3	-0.956479266E-16	0.00000000	0.539307669E-1	0.271725543E-1	-0.906225741E-1	-0.352984756	-0.272299767	-0.146577194
   33.0000	7.01952982	7.55383301	7.21829748	5.25461912	0.340976030	0.443170935	0.843689620	0.922786295	-0.269479788E-3	-0.112451596E-5	0.995850801	0.204345779E-3	-0.910007805E-1	436.838470	-10.8649483	93.9106140	-1.43164504	-2.20817399	-3.41421652	-4.36844063	-0.680908322	-0.247040391E-2	-0.879158988E-16	0.00000000	0.556686930E-1	0.414460786E-1	-0.102213584	-0.459295720	-0.371695638	-0.199979961	-1.50899220	-2.52422953	-4.00314188	-4.78968287	-0.603944898	-0.124633044E-2	-0.118230923E-15	0.00000000	0.643449649E-1	0.386999622E-1	-0.121773265	-0.433312505	-0.341158569	-0.183618620
   36.0000	6.99201679	7.36943722	7.04618597	4.68401289	0.207127333	0.468569845	0.782170534	0.952926993	-0.268287142E-3	-0.111953921E-5	0.995861590	0.104443592E-3	-0.908824876E-1	436.860352	-10.8133020	94.2818985	-1.40317619	-2.19582391	-3.45944357	-4.43143129	-0.753259242	-0.335319457E-2	-0.959052393E-16	0.00000000	0.589285307E-1	0.433940217E-1	-0.103188798	-0.478510916	-0.391875744	-0.210796684	-1.48749924	-2.50226021	-4.02007151	-4.80150652	-0.688906133	-0.187052914E-2	-0.102420087E-15	0.00000000	0.656554326E-1	0.415497944E-1	-0.117876761	-0.435076445	-0.342827231	-0.184478134
   39.0000	7.00619984	7.40070772	7.29125977	3.20669818	1.43299019	0.467472255	0.768951654	0.925834000	-0.260631845E-3	-0.108759423E-5	0.995844364	0.102651626E-3	-0.910716131E-1	436.879486	-9.49018574	94.3253784	-1.57011127	-2.34624505	-3.41646075	-4.03244066	-0.576788664	-0.233479287E-2	-0.643849860E-16	0.00000000	0.580996424E-1	0.236127973E-1	-0.628378987E-1	-0.336206228	-0.256633103	-0.138002500	-1.47828400	-2.41337872	-3.72735381	-4.57713795	-0.575786948	-0.155510381E-2	-0.820067587E-16	0.00000000	0.584112816E-1	0.336235985E-1	-0.101753600	-0.372463971	-0.287917435	-0.154926360
   42.0000	6.96146441	7.43408155	7.32332182	1.70090890	2.41709232	0.462482929	0.803371072	0.970857322	-0.262823247E-3	-0.109673886E-5	0.995846629	0.557557214E-4	-0.910469145E-1	436.866241	-7.69092369	94.1983490	-1.45768833	-2.25850224	-3.50269055	-4.06584740	-0.480909050	-0.142316427E-2	-0.937778499E-16	0.00000000	0.598650202E-1	0.383170582E-1	-0.116801664	-0.366713166	-0.284231007	-0.152938500	-1.54551017	-2.48530173	-3.69792533	-4.23454905	-0.409645557	-0.932320429E-3	-0.980223849E-16	0.00000000	0.580690578E-1	0.204763617E-1	-0.715104043E-1	-0.286451310	-0.215492457	-0.115964264
   45.0000	7.08807850	7.48726845	7.83821583	-0.444393009	4.53050423	0.450850964	0.768204927	0.909992218	-0.263464666E-3	-0.109941539E-5	0.995893419	0.375227646E-4	-0.905336663E-1	436.801270	-5.67813826	93.8592682	-1.53527641	-2.24522185	-3.30076814	-3.79554176	-0.408406556	-0.145156169E-2	-0.930976361E-16	0.00000000	0.550807901E-1	0.309185684E-1	-0.990119427E-1	-0.304928720	-0.230958015	-0.124245070	-1.57238078	-2.42330909	-3.39439464	-4.07044697	-0.353805989	-0.704175851E-3	-0.965118406E-16	0.00000000	0.516958162E-1	0.137154106E-1	-0.658532605E-1	-0.277583569	-0.208590746	-0.112261660
   48.0000	7.08502007	7.51434946	7.62250853	0.721650183	4.74220753	0.467617512	0.710084856	0.899922788	-0.263205409E-3	-0.109833354E-5	0.995909631	0.216858243E-4	-0.903549492E-1	436.719696	-2.84879589	93.0887299	-1.64904225	-2.31753087	-3.30210662	-3.56304216	-0.378014296	-0.162200455E-2	-0.756662274E-16	0.00000000	0.576488785E-1	0.260495245E-1	-0.839671642E-1	-0.267233938	-0.198041931	-0.106499463	-1.68729341	-2.48475599	-3.38057423	-3.78769016	-0.343045354	-0.854354643E-3	-0.791265026E-16	0.00000000	0.531123877E-1	0.886006374E-2	-0.605326258E-1	-0.234391227	-0.171416059	-0.922300071E-1
   51.0000	7.03244925	7.46963501	7.41475010	0.202371746	5.81304073	0.520211577	0.744691074	0.924821377	-0.256066036E-3	-0.106854156E-5	0.995922208	-0.183853099E-4	-0.902160704E-1	436.638641	0.572026558E-1	92.2962189	-1.62297595	-2.28119564	-3.29652452	-3.70895767	-0.500583351	-0.275143748E-2	-0.574556014E-16	0.00000000	0.586648025E-1	0.319160782E-1	-0.855628550E-1	-0.321487129	-0.245241120	-0.131829530	-1.75050306	-2.54540777	-3.52296519	-3.84864950	-0.437697589	-0.143412838E-2	-0.754517163E-16	0.00000000	0.568438582E-1	0.153032998E-1	-0.734357908E-1	-0.271610469	-0.201876000	-0.108588874
   54.0000	7.05720758	7.28764439	7.37597847	-1.18034017	3.59533095	0.513902366	0.743519783	0.903953791	-0.267838797E-3	-0.111766826E-5	0.995928049	-0.140374923E-4	-0.901517123E-1	436.523834	2.74696589	91.0814056	-1.56310558	-2.17267871	-3.17676258	-3.89116669	-0.594546139	-0.443582656E-2	-0.831667240E-16	0.00000000	0.550450943E-1	0.401675887E-1	-0.951335803E-1	-0.381471604	-0.298278928	-0.160284638	-1.51515818	-2.22406721	-3.10516787	-3.77836585	-0.355242997	-0.103844190E-2	-0.736050455E-16	0.00000000	0.482338741E-1	0.167937297E-1	-0.673638582E-1	-0.278767824	-0.210273251	-0.113144562
   57.0000	7.20560598	7.18139696	7.22134495	0.431744426	3.48775172	0.450316668	0.713202238	0.905479729	-0.259447814E-3	-0.108265351E-5	0.995851576	0.821541689E-4	-0.909925476E-1	436.496094	4.75634956	90.2016296	-1.63754225	-2.24926639	-3.20330429	-3.65877914	-0.466214806	-0.255855639E-2	-0.890096764E-16	0.00000000	0.560466908E-1	0.331345424E-1	-0.900855809E-1	-0.331035316	-0.255034685	-0.137118280	-1.61104441	-2.37000465	-3.37512422	-3.69630694	-0.329669118	-0.944013358E-3	-0.709509671E-16	0.00000000	0.543385334E-1	0.201899540E-1	-0.801113024E-1	-0.241745576	-0.178065524	-0.958059058E-1
   60.0000	7.41125441	7.26767206	5.82394791	1.67347884	-1.29902136	0.436585754	0.652472258	0.970679522	-0.272923673E-3	-0.113888700E-5	0.995869696	0.553227474E-4	-0.907940343E-1	436.472961	6.36265755	90.1011047	-1.64596331	-2.27967334	-3.27785587	-3.86273980	-0.577611625	-0.426333724E-2	-0.786777075E-16	0.00000000	0.577731095E-1	0.356955864E-1	-0.867303610E-1	-0.365967005	-0.284948081	-0.153108537	-1.85994446	-2.72247815	-3.84601831	-3.48444486	-0.245803013	-0.654744683E-3	-0.651748045E-16	0.00000000	0.645505637E-1	0.158045795E-1	-0.106304862	-0.208677307	-0.153448775	-0.825731680E-1
   63.0000	7.47895527	7.29377127	5.11200285	1.99626482	1.45796227	0.434044480	0.787083805	0.932014167	-0.265110604E-3	-0.110628378E-5	0.995882869	-0.851025732E-6	-0.906494632E-1	436.468201	7.68018532	90.1609116	-1.62431598	-2.25638652	-3.17589545	-3.51101542	-0.343094617	-0.150797970E-2	-0.983943184E-16	0.00000000	0.534415729E-1	0.264111385E-1	-0.857816786E-1	-0.254362375	-0.187309101	-0.100726627	-1.69236255	-2.51525927	-3.53675914	-3.70471764	-0.286961496	-0.672679802E-3	-0.906124017E-16	0.00000000	0.555470735E-1	0.166098960E-1	-0.859588236E-1	-0.234932810	-0.174040616	-0.936599970E-1
   66.0000	7.49500608	7.25448370	5.38503170	-0.539797425	6.77732706	0.505577028	0.690199614	0.956116080	-0.255983759E-3	-0.106819823E-5	0.995886803	0.397141139E-5	-0.906061158E-1	436.469482	8.28705883	90.1803970	-1.61197090	-2.22841811	-3.07178283	-3.51101851	-0.359332055	-0.147832464E-2	-0.930909723E-16	0.00000000	0.496746674E-1	0.225618146E-1	-0.747540519E-1	-0.252700388	-0.186240241	-0.100157127	-1.56323171	-2.37956357	-3.47676301	-3.84269166	-0.318088293	-0.732391956E-3	-0.738276233E-16	0.00000000	0.539301038E-1	0.246367436E-1	-0.917891264E-1	-0.263413310	-0.197248489	-0.106152132
   69.0000	7.51243734	7.15328979	5.11019135	0.242996335	8.80895042	0.431744963	0.745649397	0.890190899	-0.261416833E-3	-0.109087000E-5	0.995901823	0.149589659E-4	-0.904411077E-1	436.557495	9.09513855	91.2482529	-1.56812632	-2.22592378	-3.14922452	-3.59914899	-0.412717670	-0.171252200E-2	-0.653407502E-16	0.00000000	0.499761365E-1	0.268502980E-1	-0.769102350E-1	-0.257165074	-0.189795107	-0.102057442	-1.52523279	-2.33496141	-3.41783094	-3.82361460	-0.313275218	-0.746080594E-3	-0.526904984E-16	0.00000000	0.542985946E-1	0.229085069E-1	-0.898810327E-1	-0.273336679	-0.205956638	-0.110840507
   72.0000	7.64311171	7.02570820	4.99182463	-2.33926153	5.41521740	0.454934359	0.717053235	0.925116837	-0.263625901E-3	-0.110008830E-5	0.995924830	0.150026199E-4	-0.901871175E-1	436.752533	11.1320601	93.5827408	-1.44467139	-2.14617705	-3.09098744	-3.64030480	-0.339636981	-0.109396945E-2	-0.904235795E-16	0.00000000	0.477517694E-1	0.229449440E-1	-0.739514306E-1	-0.249436289	-0.185468793	-0.997812226E-1	-1.55420077	-2.31609941	-3.29241443	-3.72068095	-0.296598762	-0.660004851E-3	-0.393781217E-16	0.00000000	0.516525991E-1	0.181503203E-1	-0.772140250E-1	-0.252149135	-0.188366428	-0.101371773
   75.0000	7.78274822	6.98614597	5.24460411	-1.54819000	6.29791546	0.477489769	0.827587843	0.805238307	-0.233931321E-3	-0.976175329E-6	0.995949447	0.469794359E-4	-0.899150819E-1	436.959961	12.8069305	96.0609894	-1.33824682	-2.01496220	-2.92252588	-3.86996961	-0.424739510	-0.102923287E-2	-0.747279862E-16	0.00000000	0.440534502E-1	0.239604264E-1	-0.651861876E-1	-0.313522995	-0.240838408	-0.129603714	-1.53945327	-2.26939392	-3.16584730	-3.69951892	-0.296887994	-0.643230102E-3	-0.861866810E-16	0.00000000	0.489902794E-1	0.173456799E-1	-0.777051523E-1	-0.259810090	-0.194845363	-0.104859829
   78.0000	8.00128269	6.92177343	5.25608110	-2.51054573	8.21553516	0.467550755	0.741890669	0.862500429	-0.253683567E-3	-0.105859965E-5	0.995932579	0.120976132E-3	-0.901013240E-1	437.099792	12.5605612	97.4793625	-1.33530998	-2.08248115	-3.17413497	-4.06865835	-0.547874093	-0.169395981E-2	-0.866298116E-16	0.00000000	0.507735983E-1	0.312224086E-1	-0.732425973E-1	-0.326305598	-0.248360977	-0.133602932	-1.43450010	-2.09163618	-2.87434745	-3.65458488	-0.603969276	-0.319243059E-2	-0.995283698E-16	0.00000000	0.441341177E-1	0.153453201E-1	-0.417322591E-1	-0.244111165	-0.174878880	-0.938863009E-1
   81.0000	8.18286228	6.94833183	5.39245939	-3.15658259	7.78071165	0.434267431	0.800449371	0.802575946	-0.229975514E-3	-0.959668000E-6	0.995926619	0.172516025E-3	-0.901670530E-1	437.113800	11.8835983	97.5763855	-1.43544376	-2.20507169	-3.21063685	-4.13718510	-0.621410787	-0.228763302E-2	-0.943463082E-16	0.00000000	0.505714528E-1	0.243022535E-1	-0.622324497E-1	-0.334772944	-0.255821943	-0.137583166	-1.25184023	-1.85768485	-2.62136364	-3.50188708	-0.969894946	-0.105959773E-1	-0.978159537E-16	0.00000000	0.403221212E-1	0.170805752E-1	-0.722109666E-2	-0.214612365	-0.146147296	-0.778124481E-1
   84.0000	8.24811459	6.94377136	5.62344503	-0.918839216	7.53741837	0.400261074	0.808528244	0.820083737	-0.246187759E-3	-0.102732031E-5	0.995971620	0.199476315E-3	-0.896687210E-1	437.025360	12.0369873	96.9842987	-1.51589084	-2.29191971	-3.30882072	-3.87187839	-0.369624227	-0.108548964E-2	-0.105293117E-15	0.00000000	0.540825911E-1	0.196424779E-1	-0.750477612E-1	-0.282590598	-0.212819517	-0.114513062	-1.10147810	-1.69083130	-2.46697330	-3.49630475	-1.20909584	-0.194686949E-1	-0.829013711E-16	0.00000000	0.380360931E-1	0.210521352E-1	-0.302507170E-2	-0.212208882	-0.147041678	-0.776745901E-1
   87.0000	8.21375370	7.05663633	5.96147776	0.547175765	4.45685625	0.410150856	0.831623435	0.908515155	-0.263520109E-3	-0.109964685E-5	0.996052384	0.226886841E-3	-0.887671709E-1	436.902283	12.6387396	96.3299866	-1.48308539	-2.25380063	-3.29802179	-3.76615739	-0.323632389	-0.856276311E-3	-0.103264136E-15	0.00000000	0.523169152E-1	0.214685556E-1	-0.677273124E-1	-0.247684941	-0.184417322	-0.992366970E-1	-1.16921365	-1.66107321	-2.42178965	-3.49582529	-1.31825995	-0.733771026E-1	-0.626104826E-3	0.00000000	0.332069695E-1	0.282460637E-1	-0.148979882E-1	-0.201549158	-0.141198650	-0.741019547E-1
   90.0000	8.30353928	6.95245314	5.32113361	1.97374058	6.59949732	0.433067441	0.764475226	0.858695209	-0.263163151E-3	-0.109815721E-5	0.996095777	0.228306337E-3	-0.882785097E-1	436.838837	12.0009260	95.9813385	-1.62582791	-2.52435422	-3.63528752	-3.70242786	-0.265202105	-0.547293923E-3	-0.897932414E-16	0.00000000	0.574486256E-1	0.141793527E-1	-0.725245178E-1	-0.206905395	-0.151281029	-0.814178213E-1	-1.47413313	-1.78365505	-2.40955353	-2.88338566	-1.34589982	-0.211773038	-0.236790720E-2	0.00000000	0.272323377E-1	0.278782379E-1	-0.144648403E-1	-0.117868103	-0.709317923E-1	-0.352595784E-1
